"","asof_date","Estimate_Z","Estimate_NumStats","Estimate_reZ","USARGDP","USARGDP_chng_offset","USARGDP_chng_offset_120mZ","USARGDP_chng_offset_120mma","USARGDP_chng_offset_120msd","Estimate_RGDPTerms","USAAutoSales_1x6mma_120mZ","USAConsConf_1x6mma_120mZ","USAConstExpend_1x6mma_120mZ","USADurGoods_1x6mma_120mZ","USADurGoodsxTrans_1x6mma_120mZ","USAEmpStateManuf_120mZ","USAExistHomeSales_1x6mma_120mZ","USAHomePermits_1x6mma_120mZ","USAHomeStarts_1x6mma_120mZ","USAIndProd_1x6mma_120mZ","USAInitClaims_1x6mma_Inverted_120mZ","USANAHB_120mZ","USANewHomeSales_1x6mma_120mZ","USANewOrdersManufxTrans_1x6mma_120mZ","USAPendHomeSales_1x6mma_120mZ","USAPMIChicago_120mZ","USAPMIManuf_120mZ","USAPMIServices_120mZ","USARetSales_1x6mma_120mZ","USATippEconOpt_120mZ","USATotEmp_1x6mma_120mZ"
"322",1982-10-01,-0.289135369910402,21,-0.390332749379042,6493.1,0.0281803046186102,0.16135503397443,0.0249436228009431,0.0387966331791027,0.00980002630549379,NA,0.011814127906698,-0.370942722030854,NA,NA,NA,-0.000718453793844889,0.0211505252780457,0.621345564328943,-0.970393911757464,-0.429564585155746,NA,1.04390285646753,NA,NA,-0.741993905351092,-1.35812154767801,NA,NA,NA,-1.00696701722863
"323",1982-11-01,0.018965209683897,21,0.0256030330732609,6493.1,0.0281803046186102,0.17530721809126,0.0244309233728591,0.0386668934790595,0.0254209131254437,NA,-0.33370357172824,-0.596920839890335,NA,NA,NA,0.508481888787103,0.899057259595706,1.1971487817738,-0.828760549444206,0.599621238685779,NA,2.54265290157405,NA,NA,-1.08720313598853,-1.27790251371354,NA,NA,NA,-1.41385415312872
"324",1982-12-01,0.222790742323444,21,0.30076750213665,6493.1,0.0281803046186102,0.189621950031304,0.0239182239447751,0.0385298380138555,0.0355067470819321,NA,0.0756183189639654,-0.0884181006606174,NA,NA,NA,1.44081055548451,1.44386313236176,1.02037387317005,-0.994242342889206,1.29164522373339,NA,1.77577076848157,NA,NA,-0.960774035299679,-1.28070332265106,NA,NA,NA,-1.27324590513679
"325",1983-01-01,0.60426903302169,21,0.815763194579281,6578.2,0.0724461351280588,1.37699683705648,0.0234416856102261,0.0385340900904824,0.0548763780426438,NA,0.257946919943183,0.213184617285749,NA,NA,NA,2.04085916550812,1.67347735809606,2.17144936516962,-0.914323633491788,1.49984543305903,NA,2.7160347264211,NA,NA,-0.864672745128775,-0.904851232946796,NA,NA,NA,-1.24199061067691
"326",1983-02-01,0.438306100111361,21,0.591713235150338,6578.2,0.0724461351280588,1.37701802070148,0.0229651472756772,0.0385323991809758,0.0457652778531566,NA,0.283460234802345,-0.190872173571615,NA,NA,NA,1.91077198043303,1.94734993904619,0.923013410943964,-0.972846809030832,1.58131301331589,NA,1.25645830459507,NA,NA,-0.460314740475578,-0.565920964429006,NA,NA,NA,-0.891045094404476
"327",1983-03-01,1.076805981591,21,1.45368807514784,6578.2,0.0724461351280588,1.37703920498848,0.0224886089411283,0.0385247645027961,0.078491599696722,NA,1.00563030345193,0.765259392934313,NA,NA,NA,2.98461022536775,1.92143483731363,2.45207037902384,0.202145823429643,1.33590186091018,NA,1.65843247068547,NA,NA,0.037733234779159,0.324112677864649,NA,NA,NA,-0.842465408259613
"328",1983-04-01,0.716936710563716,21,0.967864559261017,6728.3,0.0856769328995775,1.69485417721824,0.0220294036931917,0.0381202914710009,0.0589246827966735,NA,1.84730350488928,-0.0409140477128603,NA,NA,NA,1.23157962795185,1.41714672135184,2.24279237590321,-0.0347729333828755,0.530581937484407,NA,0.655711439062482,NA,NA,0.310147807965629,0.289699278217167,NA,NA,NA,-0.562971895529243
"329",1983-05-01,0.639766726852355,21,0.863685081250679,6728.3,0.0856769328995775,1.65931232521978,0.021570198445255,0.0377058414669164,0.0541361711962339,NA,1.69358840165597,-0.319335642555196,NA,NA,NA,1.48605773956604,0.862772122750665,1.02906190140663,0.421376416813108,0.288224693843751,NA,0.890717726500839,NA,NA,0.29529356371754,0.338190657945881,NA,NA,NA,0.0514864137306809
"330",1983-06-01,0.657464777749971,21,0.887577449962461,6728.3,0.0856769328995775,1.62520043376021,0.0211109931973184,0.0372810817530607,0.054200840671542,NA,1.61217819720665,-0.0980817101072183,NA,NA,NA,0.923772437077737,0.926028408396972,-0.152611646163615,0.899154369791593,1.015342971061,NA,1.09997028164304,NA,NA,0.404568728087788,0.556573176074602,NA,NA,NA,0.0452173421811292
"331",1983-07-01,0.962196032823022,21,1.29896464431108,6860,0.0812092207541282,1.48059528288535,0.0211107220605377,0.0372807051447247,0.0695370399585212,NA,1.0899932641185,0.542338888165466,NA,NA,NA,1.20501069690902,1.03140761778133,1.20762554331592,0.979601165190629,1.29634828597298,NA,1.18841994153604,NA,NA,-0.0808647695993726,0.722047685075301,NA,NA,NA,1.40222804258743
"332",1983-08-01,0.984707888405396,21,1.32935564934729,6860,0.0812092207541282,1.45272373061227,0.021110450923757,0.0372803285305956,0.070669266265427,NA,0.719672814557167,1.08132695275961,NA,NA,NA,0.84783624025613,1.14415534944666,0.490894719439537,0.862063535827631,0.989855871224889,NA,0.558276544882934,NA,NA,0.952108447942564,1.38081218737598,NA,NA,NA,1.80478410874625
"333",1983-09-01,0.956581790308473,21,1.29138541691644,6860,0.0812092207541282,1.42575087966763,0.0211101797869763,0.0372799519106733,0.0692529660277659,NA,0.529989837025023,1.3472977203094,NA,NA,NA,0.683675695789324,0.899584422257253,0.576837594871287,1.31971679013332,0.994752196657589,NA,-0.248549834833326,NA,NA,1.37048893267821,1.32504227411612,NA,NA,NA,1.723564064389
"334",1983-10-01,0.752706854979174,21,1.01615425422188,7001.5,0.0818075801749272,1.41393732598752,0.0217268894135075,0.0377318853419182,0.0600683052235101,NA,0.310423552775192,1.35901910592512,NA,NA,NA,0.270983616225646,0.229024694045143,1.03243839239383,1.35921950267478,0.631201715730233,NA,-0.834426316310646,NA,NA,1.09167570277104,1.26179063170608,NA,NA,NA,1.56842480683449
"335",1983-11-01,0.573612847320625,21,0.774377343882843,7001.5,0.0818075801749272,1.38783451332567,0.0223435990400388,0.0381684224825788,0.0519003606622964,NA,0.262591444219485,0.873920564019476,NA,NA,NA,0.136172267013299,-0.536084347257863,-0.11434764994713,1.57433973992807,0.626873028654675,NA,-0.288486677442603,NA,NA,1.43733321709693,1.47555348804053,NA,NA,NA,0.861876246202
